iter	Passed	Remaining
0	1	119
1	2	117
2	3	112
3	4	104
4	5	105
5	6	103
6	7	101
7	8	100
8	9	99
9	10	98
10	11	96
11	12	95
12	14	94
13	15	93
14	16	92
15	17	90
16	18	89
17	19	89
18	20	87
19	21	86
20	22	85
21	23	84
22	24	82
23	25	81
24	26	80
25	27	78
26	28	77
27	29	76
28	30	75
29	31	74
30	33	74
31	34	72
32	35	71
33	36	70
34	37	68
35	37	67
36	39	66
37	39	65
38	40	63
39	41	62
40	42	61
41	43	59
42	44	58
43	45	57
44	46	56
45	47	55
46	48	54
47	49	53
48	50	52
49	51	51
50	52	50
51	53	49
52	54	48
53	55	47
54	56	46
55	57	45
56	58	43
57	59	42
58	60	41
59	61	40
60	62	39
61	63	39
62	65	38
63	66	37
64	67	36
65	68	35
66	69	34
67	70	32
68	71	31
69	72	30
70	73	29
71	74	28
72	75	27
73	76	26
74	77	25
75	79	24
76	80	23
77	80	22
78	81	21
79	82	20
80	83	19
81	84	18
82	85	17
83	86	16
84	87	15
85	88	14
86	89	13
87	90	12
88	91	11
89	93	10
90	94	9
91	95	8
92	96	7
93	97	6
94	98	5
95	99	4
96	100	3
97	101	2
98	102	1
99	103	0
